Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	UploadData(MB)	DownloadData(MB)
1353095936776	458.28	3859.26	700	1000	1.075	11.820
1353095985664	621.61	4048.36	800	1000	1.315	13.804
1353096024892	2049.66	3761.17	900	1000	3.932	8.582
1353096068709	1038.66	2683.14	1000	1000	2.646	10.479
1353096107289	905.21	2134.59	1100	1000	1.896	5.175
1353096159542	501.91	2285.71	1200	1000	1.334	8.656
1353096206767	641.62	1140.84	1300	1000	1.593	3.987
1353096256914	385.42	2780.24	1357	1000	1.119	8.753
1353096309486	834.16	3432.00	700	1000	2.111	11.029
1353096360794	727.00	3300.60	800	1000	1.869	10.662
1353096415548	622.63	1184.26	900	1000	1.665	4.776
1353096456443	488.00	3175.49	1000	1000	1.634	8.014
