Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	UploadData(MB)	DownloadData(MB)
1353114870677	593.81	4918.46	1357	100	1.601	13.211
1353114914801	553.28	3611.54	1357	100	1.439	13.734
1353114962567	880.51	5419.33	1357	100	2.420	15.765
1353115008983	671.74	5943.22	1357	100	1.559	16.117
1353115058106	1072.13	3998.56	1357	100	2.826	14.637
1353115105216	503.22	4807.43	1357	100	1.163	15.614
1353115159896	529.60	2214.53	1357	100	1.439	7.992
1353115211764	268.18	3769.00	1357	100	0.919	11.019
1353115262971	297.80	2989.22	1357	100	0.885	9.831
1353115308475	439.80	4940.46	1357	100	0.687	12.599
1353115361468	344.29	2658.40	1357	100	1.066	9.378
1353115409281	313.51	3416.46	1357	100	0.681	9.593
1353115465357	398.52	2094.23	1357	100	1.087	8.140
1353115516960	308.05	3480.52	1357	100	1.095	11.086
1353115566010	352.53	2708.55	1357	100	0.929	9.665
1353115616911	412.12	2971.43	1357	100	1.312	10.322
1353115668276	278.78	4968.08	1357	100	0.930	14.520
1353115714477	549.48	4716.88	1357	100	1.429	13.804
1353115767593	458.94	2625.84	1357	100	1.421	11.443
1353115818563	653.72	1265.00	1357	100	1.920	5.581
1353115871986	330.92	2306.48	1357	100	1.024	7.972
1353115927169	169.55	4193.21	1357	100	0.554	13.097
1353115973373	657.39	3263.50	1357	100	1.772	10.246
1353116020886	170.98	4153.74	1357	100	0.397	12.242
1353116072624	184.19	3154.65	1357	100	0.434	12.752
1353116120560	275.59	3836.49	1357	100	0.965	11.012
1353116177049	893.90	2778.86	1357	100	2.307	11.064
1353116226547	727.35	3477.04	1357	100	1.783	15.852
1353116274419	1034.78	5205.18	1357	100	2.879	15.180
1353116319220	700.39	5417.96	1357	100	1.876	15.691
1353116364696	1091.00	7677.98	1357	100	2.667	20.367
1353116407102	531.20	6732.47	1357	100	1.367	18.602
1353116451787	1306.34	7008.76	1357	100	3.137	19.819
1353116503120	556.80	4841.28	1357	100	1.813	15.071
1353116553568	1201.41	2407.12	1357	100	2.918	9.427
1353116600336	507.64	3483.97	1357	100	1.207	11.584
1353116646334	1306.98	6767.27	1357	100	3.163	19.415
1353116697569	760.13	2870.40	1357	100	1.546	15.326
1353116746202	330.14	3762.42	1357	100	1.236	11.880
1353116795019	955.02	3545.69	1357	100	2.557	12.103
1353116839180	814.20	6670.13	1357	100	2.112	17.669
1353116883716	1250.15	6273.02	1357	100	3.120	16.886
1353116929996	519.74	5135.02	1357	100	1.149	16.070
1353116976604	279.85	5114.24	1357	100	0.700	14.424
1353117036219	400.51	1972.06	1357	100	1.011	10.801
1353117082235	524.67	1622.40	1357	100	1.574	5.730
1353117128481	923.46	3459.76	1357	100	2.527	10.560
1353117172883	1333.92	7477.60	1357	100	3.220	17.900
1353117220332	1459.72	6403.20	1357	100	3.686	18.416
1353117271018	1310.96	3511.67	1357	100	3.334	16.482
1353117322420	548.72	4893.10	1357	200	1.517	15.847
1353117364015	5712.93	6325.02	1357	200	9.940	17.597
1353117405218	6734.84	7009.37	1357	200	12.662	18.542
1353117446043	4744.26	5722.45	1357	200	9.531	15.683
1353117485362	6156.92	5948.80	1357	200	11.762	17.181
1353117525591	5706.52	8174.97	1357	200	11.111	20.702
1353117565769	5932.80	6843.20	1357	200	12.333	17.890
1353117606135	7125.60	7862.40	1357	200	13.022	19.477
1353117646776	6825.01	7072.00	1357	200	12.695	19.737
1353117686543	7331.09	7507.92	1357	200	13.572	20.454
1353117727647	7372.94	6663.47	1357	200	14.915	19.760
1353117766779	7096.28	7571.20	1357	200	13.113	20.260
1353117806691	8516.53	8162.12	1357	200	14.986	21.565
1353117846580	6877.28	8762.82	1357	200	13.419	23.737
1353117885423	7725.08	8257.60	1357	200	14.479	22.063
1353117925565	7300.66	8978.06	1357	200	12.703	23.370
1353117965298	7714.78	7935.20	1357	200	14.128	21.979
1353118005106	5728.58	8209.90	1357	200	11.489	21.924
1353118046203	7636.32	7888.22	1357	200	13.984	21.706
1353118086457	5623.41	6379.22	1357	200	11.004	16.382
1353118127285	5890.95	7466.31	1357	200	12.095	20.630
1353118166613	5207.00	8508.15	1357	200	10.103	22.447
1353118206873	4331.54	4961.28	1357	200	8.738	16.970
1353118245685	4974.87	7763.67	1357	200	9.777	18.969
1353118293262	484.12	8051.14	1357	200	1.402	21.892
1353118338337	1235.11	4259.74	1357	200	2.850	11.344
1353118385715	618.79	2579.20	1357	200	1.772	10.496
1353118432480	648.30	4282.54	1357	200	1.612	12.683
1353118478943	1248.04	5589.61	1357	200	2.266	15.135
1353118522102	1896.15	5476.42	1357	200	3.859	16.199
1353118564365	1095.77	6084.00	1357	200	2.348	16.487
1353118608305	266.60	7785.76	1357	200	0.757	18.976
1353118658451	1031.32	7151.71	1357	200	3.316	18.376
1353118700702	1237.58	9038.96	1357	200	2.627	23.873
1353118745605	960.72	6161.78	1357	200	2.669	19.172
1353118791836	634.79	6718.40	1357	200	1.838	17.917
1353118835948	791.93	6639.26	1357	200	1.878	17.287
1353118886481	546.06	6094.40	1357	200	1.691	16.995
1353118930783	1074.84	5745.49	1357	200	2.552	16.261
1353118972818	1545.40	5243.94	1357	200	3.411	13.680
1353119013883	1621.94	6435.13	1357	200	3.197	17.295
1353119053729	1252.00	5389.17	1357	200	3.018	12.958
1353119099251	1405.66	6521.46	1357	200	3.266	16.256
1353119144478	988.86	7594.05	1357	200	2.179	19.068
1353119192859	659.63	6352.93	1357	200	1.981	16.764
1353119237506	1212.08	7321.06	1357	200	2.982	19.524
1353119283567	866.75	4498.41	1357	200	1.945	13.476
1353119332381	1270.29	7170.78	1357	200	3.300	19.772
1353119380714	674.49	4908.80	1357	200	1.708	16.063
1353119425695	1207.42	4888.00	1357	200	3.121	14.012
1353119470860	1650.11	5382.63	1357	400	3.908	15.847
1353119514775	1776.82	5665.97	1357	400	3.924	15.867
1353119557020	2410.03	6753.30	1357	400	5.008	18.240
1353119599496	1953.74	6718.95	1357	400	4.410	19.127
1353119642535	1705.02	6376.07	1357	400	4.145	17.285
1353119683631	2292.30	6583.20	1357	400	5.210	16.568
1353119728234	1280.94	6524.68	1357	400	2.824	16.975
1353119776883	984.56	5412.94	1357	400	2.843	14.114
1353119820472	2389.00	4780.66	1357	400	5.085	13.206
1353119865132	1047.76	5589.61	1357	400	2.135	18.049
1353119911913	549.46	4404.48	1357	400	1.800	11.986
1353119957733	623.67	6742.86	1357	400	1.796	16.888
1353119999967	830.12	5277.92	1357	400	2.130	14.689
1353120050987	943.53	3342.12	1357	400	2.326	12.370
1353120104280	1229.43	2113.15	1357	400	3.259	8.542
1353120159898	1278.45	2331.74	1357	400	3.375	10.020
1353120210149	666.43	2986.86	1357	400	1.676	10.724
1353120254856	653.72	5761.60	1357	400	1.898	16.209
1353120299254	1075.92	5951.49	1357	400	2.425	16.040
1353120342032	1052.14	6102.38	1357	400	2.622	16.737
1353120385739	2223.22	5631.17	1357	400	4.973	16.147
1353120431206	1758.78	6102.99	1357	400	4.179	18.426
1353120475656	1419.30	6549.30	1357	400	3.490	17.451
1353120518222	1663.50	8113.44	1357	400	3.617	21.944
1353120565844	813.39	8660.76	1357	400	2.397	22.497
1353120610002	1479.87	6906.01	1357	400	3.499	20.052
1353120654367	1530.06	4428.12	1357	400	3.894	15.532
1353120696348	2170.02	7844.16	1357	400	4.586	22.442
1353120737832	1239.14	7143.81	1357	400	3.011	20.139
1353120779084	2540.30	7196.80	1357	400	5.683	20.032
1353120821717	2352.26	9527.30	1357	400	5.086	24.332
1353120863777	1845.30	8241.51	1357	400	3.961	21.245
1353120904131	2199.37	7514.57	1357	400	4.630	21.103
1353120947001	2549.27	8201.52	1357	400	4.975	23.459
1353120989799	2097.86	7335.06	1357	400	4.387	19.717
1353121034656	224.83	4647.42	1357	400	0.515	15.096
1353121081042	1348.40	2994.12	1357	400	4.162	12.328
1353121121878	3064.60	8138.18	1357	400	6.828	21.490
1353121162825	3417.43	8251.78	1357	400	6.884	21.927
1353121203161	3934.84	8415.59	1357	400	8.253	23.526
1353121243723	4083.15	8374.03	1357	400	9.885	21.681
1353121286681	2556.96	5510.76	1357	400	5.554	17.709
1353121327440	3802.30	6974.88	1357	400	7.445	19.851
1353121369001	3984.15	8152.03	1357	400	7.974	22.088
1353121408076	4233.92	9367.78	1357	400	9.265	24.052
1353121449717	3897.30	10664.19	1357	400	8.167	27.759
1353121490203	2525.68	11050.00	1357	400	5.419	28.081
1353121532489	3213.38	8060.88	1357	400	7.047	22.378
1353121573991	3261.13	8331.32	1357	400	7.185	22.589
1353121615310	450.84	6111.52	1357	400	0.813	16.596
1353121655420	2302.46	8203.68	1357	800	4.994	18.850
1353121701518	1387.93	3870.24	1357	800	3.449	18.287
1353121746247	831.75	9953.25	1357	800	2.270	23.283
1353121791517	1156.96	10161.04	1357	800	3.176	26.687
1353121834749	832.54	9041.67	1357	800	1.989	22.747
1353121884564	982.98	7645.66	1357	800	2.841	21.770
1353121926510	456.76	7373.60	1357	800	0.991	20.203
1353121976813	398.14	7628.74	1357	800	1.382	20.461
1353122028391	465.26	5002.79	1357	800	1.593	16.566
1353122073351	1430.13	7988.11	1357	800	3.370	21.304
1353122119720	1355.64	2535.06	1357	800	3.347	11.470
1353122164858	2009.76	4149.52	1357	800	4.454	11.257
1353122210948	1199.62	4612.99	1357	800	3.492	13.397
1353122258070	1014.26	3080.72	1357	800	2.962	10.320
1353122298807	3121.84	10888.31	1357	800	6.736	27.560
1353122338976	3428.21	10774.40	1357	800	7.545	28.264
1353122378208	3397.93	9989.47	1357	800	6.700	26.561
1353122418733	3850.03	10836.80	1357	800	8.039	28.946
1353122459650	3315.31	9812.49	1357	800	7.083	26.524
1353122500948	3094.78	10037.09	1357	800	6.785	26.469
1353122541850	3654.71	10047.81	1357	800	7.709	26.916
1353122583240	3168.14	8843.61	1357	800	6.620	22.998
1353122625208	4948.27	9269.79	1357	800	9.448	26.390
1353122665282	4379.16	9154.49	1357	800	8.915	25.373
1353122705952	1350.24	9727.36	1357	800	3.246	23.789
1353122748125	1770.58	10452.06	1357	800	3.560	28.897
1353122790769	1203.83	9839.52	1357	800	2.861	23.635
1353122840712	1315.82	6219.41	1357	800	3.309	20.022
1353122883280	2119.32	9170.72	1357	800	4.659	22.098
1353122925938	1690.87	10528.77	1357	800	3.820	28.150
1353122966293	2920.26	10275.20	1357	800	6.336	26.740
1353123007366	2792.46	11358.43	1357	800	5.970	28.463
1353123048050	2573.99	10047.81	1357	800	5.517	26.152
1353123091494	2867.10	10342.84	1357	800	5.787	27.558
1353123131846	1253.03	10254.69	1357	800	3.142	26.353
1353123175906	1443.16	11012.99	1357	800	4.176	27.843
1353123222642	762.39	8618.33	1357	800	2.371	20.841
1353123272661	0.00	8967.46	1357	800	3.251	24.996
1353123313669	677.83	8587.72	1357	800	1.574	21.262
1353123357304	838.84	11336.00	1357	800	2.051	29.968
1353123397867	3310.95	9735.21	1357	800	7.211	26.494
1353123439336	2415.23	8779.24	1357	800	4.539	24.195
1353123479272	3158.84	8685.49	1357	800	5.939	24.114
1353123519264	830.10	7605.97	1357	800	3.018	19.898
1353123559999	3262.20	7316.23	1357	800	7.136	19.829
1353123602402	2442.60	7286.23	1357	800	5.434	19.472
1353123652679	1600.29	3881.84	1357	800	3.853	13.841
1353123697258	790.42	4735.68	1357	800	2.010	15.363
1353123742668	939.40	8489.37	1357	800	2.446	21.396
1353123786723	1091.03	7293.16	1357	800	2.626	19.526
1353123830147	1472.00	6425.80	1357	1600	5.064	15.844
1353123881245	500.86	9159.04	1357	1600	2.012	25.753
1353123927205	423.38	5272.65	1357	1600	1.209	12.928
1353123977393	925.41	4449.85	1357	1600	3.419	14.419
1353124018934	3482.11	7795.16	1357	1600	7.410	19.021
1353124060800	4348.91	5957.68	1357	1600	8.892	18.788
1353124101348	4950.34	7372.96	1357	1600	9.389	19.663
1353124142273	5647.70	7549.50	1357	1600	11.080	20.818
1353124183017	6219.84	7462.60	1357	1600	12.268	20.325
1353124223652	4136.14	8435.79	1357	1600	8.644	22.633
1353124264829	3629.47	8264.00	1357	1600	7.708	22.735
