Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS
1353967572259	0.00	301.45	1357	1600	16000	0.000	0.674	10	4
1353967627321	181.65	1177.29	1357	1600	16000	0.602	3.479	15	9
1353967670311	513.70	1645.02	1357	1600	16000	1.149	5.281	15	9
1353967760234	0.00	839.75	1357	1600	16000	0.485	4.300	15	6
1353967796678	10.90	0.00	1357	1600	16000	0.045	0.000	15	8
1353967857839	77.80	443.44	1357	1600	16000	0.228	1.401	15	9
1353967913039	120.02	207.96	1357	1600	16000	0.274	0.836	15	9
1353967961029	117.07	276.66	1357	1600	16000	0.273	0.722	15	9
1353968024805	118.24	550.62	1357	1600	16000	0.289	2.393	15	9
1353968075371	118.54	480.10	1357	1600	16000	0.370	1.701	15	9
1353968134282	114.82	722.52	1357	1600	16000	0.269	2.963	15	9
1353968212161	76.24	233.98	1357	1600	16000	0.192	2.078	15	9
1353968270866	0.00	1010.84	1357	1600	16000	0.291	2.896	15	9
1353968295715	0.00	0.00	1357	1600	16000	0.000	0.000	15	9
1353968315784	0.00	0.00	1357	1600	16000	0.000	0.000	15	9
1353968340839	0.00	0.00	1357	1600	16000	0.000	0.342	15	9
1353968382193	30.16	0.00	1357	1600	16000	0.079	0.000	15	9
1353968444335	30.18	631.02	1357	1600	16000	0.142	2.529	15	9
1353968510213	117.13	748.34	1357	1600	16000	0.270	3.670	15	9
1353968564732	119.42	677.44	1357	1600	16000	0.278	2.415	15	9
1353968621561	115.94	906.28	1357	1600	16000	0.274	3.347	15	9
1353968676807	31.35	773.71	1357	1600	16000	0.136	3.025	15	9
1353968744129	58.16	588.18	1357	1600	16000	0.151	3.647	15	9
1353968810797	34.40	496.72	1357	1600	16000	0.133	2.499	15	9
1353968875476	0.00	814.19	1357	1600	16000	0.133	3.181	15	9
1353968924764	58.46	797.03	1357	1600	16000	0.168	2.564	15	9
1353968985388	80.87	755.14	1357	1600	16000	0.185	3.422	15	9
1353969043111	56.15	980.65	1357	1600	16000	0.164	3.625	15	9
1353969093466	60.34	699.56	1357	1600	16000	0.182	2.380	15	9
1353969152944	0.00	814.93	1357	1600	16000	0.182	3.087	15	9
1353969173010	0.00	0.00	1357	1600	16000	0.000	0.000	15	9
1353969193065	0.00	0.00	1357	1600	16000	0.000	0.000	15	9
