Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1353992590851	710.81	5313.68	1357	1600	6000	0.797	14.121	13	19	-103	11	18
1353992619981	1448.96	6168.50	1357	1600	6000	1.182	17.047	13	17	-102	13	26
1353992649194	6381.28	1873.52	1357	1600	6000	4.566	7.364	13	21	-100	11	34
1353992676959	1902.12	4326.30	1357	1600	6000	1.411	9.906	13	17	-107	13	-2
1353992708490	1010.84	2848.10	1357	1600	6000	0.929	7.887	13	17	-107	13	-2
1353992744151	1051.98	2703.82	1357	1600	6000	0.962	8.912	13	17	-107	13	-2
1353992779509	649.41	3865.48	1357	1600	6000	0.591	11.508	13	17	-107	13	-2
1353992812980	1530.90	3861.00	1357	1600	6000	1.554	11.508	13	19	-107	14	-28
1353992849362	3077.68	3010.36	1357	1600	6000	2.390	10.848	13	20	-106	15	-32
1353992887124	917.26	2429.48	1357	1600	6000	0.889	9.564	13	19	-107	15	-30
1353992921023	756.86	4794.37	1357	1600	6000	0.749	11.855	13	19	-107	15	-30
1353992963588	674.36	1386.25	1357	1600	6000	0.538	5.708	13	19	-107	15	-30
1353992998549	1789.45	3081.00	1357	1600	6000	1.543	9.874	13	19	-107	15	-30
1353993033582	1888.70	3323.08	1357	1600	6000	1.509	10.806	13	19	-107	15	-30
1353993074334	753.92	2636.44	1357	1600	6000	0.637	10.246	13	18	-108	15	-24
1353993105483	1013.56	5435.12	1357	1600	6000	0.786	15.413	13	18	-107	13	0
1353993138638	1084.98	5426.65	1357	1600	6000	0.952	15.842	13	18	-108	16	-4
1353993171024	2139.61	3955.11	1357	1600	6000	1.590	11.699	13	20	-107	15	-20
1353993201940	1227.86	4551.78	1357	1600	6000	0.986	12.026	13	20	-104	13	-2
1353993239188	1653.52	3055.00	1357	1600	6000	1.420	12.467	13	20	-105	15	0
1353993273905	1964.48	3881.44	1357	1600	6000	1.592	12.490	13	20	-105	15	-2
1353993308831	1074.74	3044.24	1357	1600	6000	0.888	10.045	13	20	-105	15	-2
1353993340614	2839.96	4667.66	1357	1600	6000	2.091	13.290	13	20	-105	15	-2
1353993372054	1331.08	7568.71	1357	1600	6000	1.103	20.875	13	20	-105	15	-2
1353993407669	1448.91	1318.43	1357	1600	6000	1.304	10.625	13	18	-103	11	46
1353993441841	2044.27	2583.77	1357	1600	6000	1.864	9.965	13	19	-100	10	6
1353993475281	4612.30	4690.07	1357	1600	6000	3.424	14.396	13	20	-100	12	30
1353993507995	3283.34	5427.22	1357	1600	6000	2.527	16.125	13	19	-102	9	54
1353993540053	3636.50	5403.02	1357	1600	6000	2.495	15.148	13	21	-100	12	32
1353993570884	3003.26	4810.96	1357	1600	6000	2.218	14.104	13	21	-100	12	32
1353993602253	1678.14	5733.46	1357	1600	6000	1.320	16.303	13	21	-100	12	32
1353993635004	2046.36	5356.00	1357	1600	6000	1.580	17.528	13	21	-100	12	32
1353993678084	1387.88	2009.98	1357	1600	6000	1.128	10.625	13	21	-100	12	32
1353993712460	1742.44	2466.62	1357	1600	6000	1.380	8.537	13	21	-100	12	32
1353993751557	1463.54	3625.63	1357	1600	6000	1.248	12.973	13	21	-100	12	32
1353993785203	3757.98	5047.54	1357	1600	6000	2.813	14.828	13	21	-100	12	32
1353993818088	1986.65	5941.00	1357	1600	6000	1.580	17.409	13	21	-100	12	32
1353993850384	2312.95	4418.31	1357	1600	6000	1.760	12.103	13	20	-104	11	-8
1353993884202	1738.28	3744.00	1357	1600	6000	1.576	11.808	13	19	-102	11	20
1353993915774	5069.76	3158.44	1357	1600	6000	3.560	9.360	13	20	-100	10	30
1353993948623	2302.88	2775.05	1357	1600	6000	1.791	9.757	13	19	-102	11	30
1353993981302	3396.56	3757.00	1357	1600	6000	2.481	11.317	13	21	-100	12	30
1353994016052	2496.10	3621.02	1357	1600	6000	1.906	11.406	13	21	-100	12	30
1353994052406	3484.81	3384.54	1357	1600	6000	2.728	11.513	13	21	-100	12	30
1353994088453	2699.24	2286.57	1357	1600	6000	2.086	9.271	13	21	-100	12	30
1353994123730	3274.00	3207.54	1357	1600	6000	2.571	10.714	13	21	-100	12	30
1353994161247	892.90	3817.14	1357	1600	6000	0.679	13.057	13	21	-100	12	30
1353994201352	566.40	3588.00	1357	1600	6000	0.593	14.265	13	16	-108	11	-10
1353994236283	2654.30	3558.76	1357	1600	6000	1.631	11.436	13	19	-104	12	12
1353994271236	708.36	4732.00	1357	1600	6000	0.668	13.814	13	18	-104	11	10
1353994310112	1809.33	4121.12	1357	1600	10000	2.595	11.765	13	18	-105	11	2
1353994350749	2779.14	4078.18	1357	1600	10000	3.809	12.400	13	21	-103	13	6
1353994391060	1117.05	4261.34	1357	1600	10000	2.032	13.362	13	24	-104	12	-8
1353994433427	1936.83	4217.09	1357	1600	10000	2.846	12.909	13	24	-104	12	-8
1353994476339	1341.48	3367.37	1357	1600	10000	2.239	13.082	13	24	-104	12	-8
1353994513963	2345.56	4082.00	1357	1600	10000	3.132	12.990	13	22	-101	11	0
1353994553793	1085.87	3351.56	1357	1600	10000	1.316	10.670	13	20	-99	15	-2
1353994587470	1606.69	1142.05	1357	1600	10000	2.232	4.684	13	20	-105	15	-24
1353994626605	965.22	6881.40	1357	1600	10000	1.575	19.363	13	18	-103	12	28
1353994663205	871.94	8990.38	1357	1600	10000	1.284	24.577	13	20	-101	10	50
1353994700572	1447.04	3654.94	1357	1600	10000	2.455	16.903	13	19	-101	10	38
1353994737710	2036.47	4794.00	1357	1600	10000	2.468	15.125	13	19	-101	10	38
1353994774416	3231.86	5420.48	1357	1600	10000	4.202	15.956	13	19	-101	10	38
1353994810894	2453.08	4798.56	1357	1600	10000	3.329	15.105	13	19	-101	10	38
1353994846571	2724.86	5287.76	1357	1600	10000	3.297	15.743	13	19	-101	10	38
1353994879683	302.13	4998.22	1357	1600	10000	0.452	12.720	13	19	-104	11	26
1353994915803	2808.78	5918.84	1357	1600	10000	3.455	15.978	13	20	-103	14	20
1353994952725	1816.54	7219.19	1357	1600	10000	2.517	20.670	13	20	-103	14	20
1353994987857	3000.09	7644.00	1357	1600	10000	4.022	15.844	13	20	-103	14	20
1353995026343	2959.37	4165.18	1357	1600	10000	3.415	15.559	13	20	-103	14	20
1353995062825	3235.09	4467.32	1357	1600	10000	4.251	13.352	13	20	-103	14	20
1353995099785	2965.65	5177.26	1357	1600	10000	3.719	14.600	13	20	-103	14	20
1353995139801	2749.18	3555.34	1357	1600	10000	3.950	11.914	13	20	-103	14	20
1353995175903	2275.21	4154.08	1357	1600	10000	3.002	11.780	13	20	-103	14	20
