Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354003086837	2625.10	7127.73	700	1600	16000	5.576	19.378	13	20	-106	14	6
1354003126833	1443.18	7684.98	700	1600	16000	3.362	19.499	13	20	-106	14	6
1354003169901	2702.63	6653.68	700	1600	16000	5.339	17.461	13	20	-106	14	6
1354003213113	2908.98	3752.31	700	1600	16000	5.927	11.788	13	20	-106	14	6
1354003255852	3012.38	5216.22	700	1600	16000	6.085	14.949	13	20	-106	14	6
1354003299336	1980.08	5229.05	700	1600	16000	4.629	14.096	13	20	-106	14	6
1354003341749	2978.49	7231.62	700	1600	16000	6.020	18.083	13	20	-106	14	6
1354003384457	3024.00	6323.80	700	1600	16000	6.175	18.788	13	20	-106	14	6
1354003428070	1510.49	5079.83	700	1600	16000	4.149	15.944	13	20	-106	14	6
1354003472981	2704.80	4289.60	700	1600	16000	5.276	14.424	13	20	-106	14	6
1354003515422	2559.68	3531.58	700	1600	16000	5.265	10.635	13	20	-106	14	6
1354003556050	3079.72	6413.98	700	1600	16000	6.367	18.326	13	20	-106	14	6
1354003597110	2885.17	7397.00	700	1600	16000	5.836	19.836	13	20	-106	14	6
1354003637055	3175.20	8842.88	700	1600	16000	6.878	21.545	13	20	-106	14	6
1354003678332	3529.34	7087.07	700	1600	16000	7.281	18.569	13	20	-106	14	6
1354003719736	3240.64	6370.00	700	1600	16000	6.682	18.768	13	20	-106	14	6
1354003761333	3124.15	6098.57	700	1600	16000	6.363	18.336	13	20	-106	14	6
1354003803038	3323.03	6249.09	700	1600	16000	6.927	17.426	13	20	-106	14	6
1354003844052	3068.80	5542.36	700	1600	16000	5.836	14.840	13	20	-106	14	6
1354003886471	2928.80	6199.08	700	1600	16000	5.995	18.155	13	20	-106	14	6
1354003927741	3441.03	5885.32	700	1600	16000	6.997	16.742	13	20	-106	14	6
1354003969352	1540.00	6029.93	700	1600	16000	4.030	16.179	13	20	-106	14	6
1354004013611	2016.00	7702.50	700	1600	16000	4.673	20.707	13	20	-106	14	6
1354004056194	2610.74	6385.51	700	1600	16000	5.345	17.957	13	20	-106	14	6
1354004097901	3047.96	7436.00	700	1600	16000	5.992	20.067	13	20	-106	14	6
1354004141478	2776.38	5092.82	700	1600	16000	5.408	14.895	13	20	-106	14	6
1354004182760	3843.36	7132.54	700	1600	16000	7.608	18.718	13	20	-106	14	6
1354004225686	3494.13	5941.00	700	1600	16000	7.077	17.835	13	20	-106	14	6
1354004268374	2156.00	5232.50	700	1600	16000	4.975	15.577	13	20	-106	14	6
1354004310630	3576.62	5008.78	700	1600	16000	7.078	14.974	13	20	-106	14	6
1354004351230	3648.55	6920.35	700	1600	16000	7.343	18.440	13	20	-106	14	6
1354004392279	2041.48	6028.23	700	1600	16000	4.236	16.958	13	20	-106	14	6
