Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354020255959	2638.01	8407.98	1357	100	16000	5.785	23.333	13	19	-108	14	2
1354020296805	3222.20	9933.17	1357	100	16000	6.820	26.591	13	19	-108	14	2
1354020338316	3761.60	9698.00	1357	100	16000	8.064	26.050	13	19	-108	14	2
1354020379300	1923.70	9669.48	1357	100	16000	4.775	25.641	13	19	-108	14	2
1354020419975	4750.18	9282.00	1357	100	16000	9.318	24.347	13	19	-108	14	2
1354020459891	4283.84	10017.69	1357	100	16000	8.392	26.234	13	19	-108	14	2
1354020501412	1529.91	9849.18	1357	100	16000	4.087	25.502	13	19	-108	14	2
1354020541509	3001.11	9718.00	1357	100	16000	6.420	25.507	13	19	-108	14	2
1354020585816	1727.22	8984.77	1357	100	16000	4.586	24.431	13	19	-108	14	2
1354020625144	4096.60	9520.10	1357	100	16000	8.170	24.622	13	19	-108	14	2
1354020664960	4149.55	10102.46	1357	100	16000	8.213	26.134	13	19	-108	14	2
1354020704873	4179.56	10231.63	1357	100	16000	8.245	27.176	13	19	-108	14	2
1354020744808	3250.30	10338.40	1357	100	16000	6.717	26.687	13	19	-108	14	2
1354020785151	4125.28	10660.00	1357	100	16000	8.716	28.108	13	19	-108	14	2
1354020825131	4222.98	9997.00	1357	100	16000	8.298	25.929	13	19	-108	14	2
1354020866999	4201.97	9801.86	1357	100	16000	8.823	24.213	13	19	-108	14	2
1354020907934	3038.38	9607.00	1357	100	16000	6.519	26.457	13	19	-108	14	2
1354020947284	4339.50	10721.66	1357	100	16000	8.765	27.585	13	19	-108	14	2
1354020987391	3929.87	10101.37	1357	100	16000	8.255	26.660	13	19	-108	14	2
1354021026838	2992.15	9959.16	1357	100	16000	6.160	25.820	13	19	-108	14	2
1354021067986	3152.79	10160.55	1357	100	16000	6.563	27.243	13	19	-108	14	2
1354021110717	1530.70	9830.14	1357	100	16000	3.560	26.090	13	19	-108	14	2
1354021152466	2731.59	10186.70	1357	100	16000	6.003	26.392	13	19	-108	14	2
1354021192975	2088.94	9842.67	1357	100	16000	4.441	25.889	13	19	-108	14	2
1354021235863	1589.47	9472.24	1357	100	16000	3.846	24.969	13	19	-108	14	2
1354021277565	1876.21	10257.97	1357	100	16000	4.551	26.058	13	19	-108	14	2
1354021316821	4240.46	10078.36	1357	100	16000	7.870	25.197	13	19	-108	14	2
1354021357149	3410.04	10429.24	1357	100	16000	6.521	26.556	13	19	-108	14	2
1354021397938	3896.92	9451.00	1357	100	16000	7.833	26.439	13	19	-108	14	2
1354021437665	3351.15	10039.80	1357	100	16000	7.105	26.606	13	19	-108	14	2
1354021479323	1849.86	10341.61	1357	100	16000	4.372	26.454	13	19	-108	14	2
1354021523229	2160.34	8895.76	1357	100	16000	5.204	17.025	13	19	-108	14	2
1354021563006	4309.83	9940.51	1357	100	16000	8.436	26.048	13	19	-108	14	2
1354021605240	1735.87	9603.95	1357	100	16000	3.814	26.020	13	19	-108	14	2
1354021646310	2084.35	9945.00	1357	100	16000	4.881	26.164	13	19	-108	14	2
1354021686093	3680.18	9428.58	1357	100	16000	7.388	23.077	13	19	-108	14	2
1354021727226	2042.27	10406.48	1357	100	16000	4.871	25.557	13	19	-108	14	2
1354021770220	1857.94	9901.68	1357	100	16000	4.255	27.362	13	19	-108	14	2
1354021810638	2212.41	10091.46	1357	100	16000	4.925	26.769	13	19	-108	14	2
1354021853498	1716.92	9990.76	1357	100	16000	4.008	25.944	13	19	-108	14	2
1354021894087	3860.15	10023.47	1357	100	16000	7.300	26.782	13	19	-108	14	2
1354021935282	2579.64	8631.03	1357	100	16000	5.259	21.475	13	19	-108	14	2
1354021976140	3553.66	10595.00	1357	100	16000	6.700	28.587	13	19	-108	14	2
1354022018456	1726.60	10606.97	1357	100	16000	4.507	26.417	13	19	-108	14	2
1354022058069	2188.53	10857.36	1357	100	16000	5.253	27.954	13	19	-108	14	2
1354022098409	3348.62	10951.18	1357	100	16000	7.190	29.083	13	19	-108	14	2
1354022138359	1989.55	10835.24	1357	100	16000	4.342	27.674	13	19	-108	14	2
1354022179378	1270.69	11055.26	1357	100	16000	3.332	28.388	13	19	-108	14	2
1354022222565	1744.62	5696.78	1357	100	16000	4.255	17.084	13	19	-108	14	2
1354022263350	2134.44	9821.50	1357	100	16000	5.046	25.034	13	19	-108	14	2
1354022302808	3940.73	10689.24	1357	200	16000	7.173	26.313	13	19	-108	14	2
1354022343149	2684.35	10701.95	1357	200	16000	4.972	27.845	13	19	-108	14	2
1354022382811	2171.20	10590.06	1357	200	16000	4.564	27.116	13	19	-108	14	2
1354022423327	1973.82	10754.14	1357	200	16000	4.377	27.228	13	19	-108	14	2
1354022465293	1601.88	9277.60	1357	200	16000	3.985	23.578	13	19	-108	14	2
1354022505951	2464.31	11550.50	1357	200	16000	5.494	28.983	13	19	-108	14	2
1354022546675	3734.46	10998.00	1357	200	16000	8.039	28.051	13	19	-108	14	2
1354022586456	2348.71	10978.67	1357	200	16000	4.870	28.240	13	19	-108	14	2
1354022628835	1742.99	10393.48	1357	200	16000	4.519	27.027	13	19	-108	14	2
1354022669121	1863.63	10918.04	1357	200	16000	4.291	26.348	13	19	-108	14	2
1354022712405	1621.91	10573.87	1357	200	16000	3.563	26.499	13	19	-108	14	2
1354022755696	4457.36	10042.97	1357	200	16000	8.400	23.940	13	19	-108	14	2
1354022796001	3672.68	10627.36	1357	200	16000	7.742	28.983	13	19	-108	14	2
1354022836078	3946.65	10413.44	1357	200	16000	7.923	27.119	13	19	-108	14	2
1354022877480	1945.48	11216.36	1357	200	16000	4.633	27.888	13	19	-108	14	2
1354022918443	3243.30	10958.65	1357	200	16000	6.585	28.733	13	19	-108	14	2
1354022958088	2924.89	10614.28	1357	200	16000	6.186	28.520	13	19	-108	14	2
1354022997603	3135.70	10708.53	1357	200	16000	6.577	27.518	13	19	-108	14	2
1354023037827	3973.30	10991.88	1357	200	16000	8.193	28.850	13	19	-108	14	2
1354023078804	2764.11	11444.91	1357	200	16000	6.142	29.732	13	19	-108	14	2
1354023118583	4076.41	11338.16	1357	200	16000	8.355	29.363	13	19	-108	14	2
1354023158966	2614.48	11018.70	1357	200	16000	6.088	28.383	13	19	-108	14	2
1354023199120	2537.77	10872.74	1357	200	16000	5.371	28.356	13	19	-108	14	2
