Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354127973090	1669.33	3960.05	1357	1600	16000	3.598	12.477	13	19	-104	11	20
1354128017656	515.42	5859.31	1357	1600	16000	1.566	18.537	13	20	-101	11	22
1354128063324	504.18	3911.33	1357	1600	16000	2.043	13.179	13	19	-105	11	20
1354128108720	2344.38	3211.86	1357	1600	16000	5.162	10.568	13	18	-103	10	48
1354128164954	0.00	4602.00	1357	1600	16000	1.682	16.372	13	16	-109	11	0
1354128221227	110.83	6612.87	1357	1600	16000	0.339	14.634	13	16	-111	12	8
1354128264405	231.17	7322.12	1357	1600	16000	0.584	18.837	13	16	-111	11	-2
1354128305861	125.76	6192.08	1357	1600	16000	0.788	15.306	13	18	-109	11	-12
1354128350793	134.64	5766.98	1357	1600	16000	0.318	15.187	13	17	-105	12	28
1354128399284	275.91	6236.10	1357	1600	16000	0.643	15.958	13	17	-105	12	28
1354128443714	290.22	4936.91	1357	1600	16000	0.813	15.577	13	17	-105	12	28
1354128495060	230.23	6799.00	1357	1600	16000	0.809	18.024	13	18	-107	13	24
1354128546757	253.94	5915.12	1357	1600	16000	0.853	14.867	13	18	-107	13	24
1354128595152	194.82	6994.00	1357	1600	16000	0.582	17.880	13	17	-107	11	28
1354128641912	290.50	6264.98	1357	1600	16000	0.839	17.292	13	17	-107	11	28
1354128687464	336.96	6474.00	1357	1600	16000	0.905	15.891	13	17	-106	11	30
1354128734784	181.24	4732.00	1357	1600	16000	0.507	13.841	13	18	-106	14	14
1354128783109	196.63	6768.98	1357	1600	16000	0.568	19.078	13	18	-106	11	30
1354128832293	149.42	5940.18	1357	1600	16000	0.502	16.963	13	17	-106	11	28
1354128876562	154.66	6602.31	1357	1600	16000	0.540	17.667	13	18	-106	13	26
1354128924340	186.34	5161.19	1357	1600	16000	0.509	15.646	13	17	-106	11	32
1354128968210	373.22	5824.83	1357	1600	16000	0.795	16.697	13	18	-106	12	28
1354129020653	224.83	5675.13	1357	1600	16000	0.752	16.320	13	17	-106	11	30
1354129065461	263.02	5798.55	1357	1600	16000	0.766	17.451	13	17	-106	11	28
1354129113551	335.16	6094.79	1357	1600	16000	0.941	17.201	13	17	-106	11	28
1354129160392	189.17	6653.94	1357	1600	16000	0.532	18.190	13	17	-106	11	30
1354129206167	281.41	6414.95	1357	1600	16000	0.808	17.364	13	18	-106	11	26
1354129254944	175.26	5616.78	1357	1600	16000	0.514	17.114	13	18	-106	13	34
1354129302238	201.04	6783.90	1357	1600	16000	0.599	17.228	13	17	-106	12	32
1354129349557	193.47	6123.00	1357	1600	16000	0.575	16.675	13	18	-106	11	30
1354129393940	179.70	6188.00	1357	1600	16000	0.483	16.643	13	17	-107	11	30
1354129438982	161.71	6360.58	1357	1600	16000	0.368	17.575	13	17	-106	13	30
1354129485501	232.33	6952.74	1357	1600	16000	0.585	18.745	13	18	-107	11	26
1354129536821	153.94	6145.16	1357	1600	16000	0.450	18.098	13	17	-107	11	28
1354129584288	293.24	6540.41	1357	1600	16000	0.792	18.235	13	18	-107	11	28
1354129628427	203.62	6705.92	1357	1600	16000	0.588	17.622	13	18	-107	12	30
1354129671694	150.33	5893.75	1357	1600	16000	0.575	13.975	13	17	-107	11	30
1354129717489	188.80	5413.17	1357	1600	16000	0.529	15.574	13	17	-106	11	30
1354129757719	187.71	6578.33	1357	1600	16000	0.546	16.474	13	17	-107	12	28
1354129807388	159.80	6587.38	1357	1600	16000	0.463	18.639	13	17	-107	11	30
1354129870481	155.62	6652.37	1357	1600	16000	0.450	14.657	13	17	-107	11	30
1354129919339	272.45	5783.24	1357	1600	16000	0.842	15.889	13	18	-107	13	30
1354129975616	219.39	3713.18	1357	1600	16000	0.655	16.216	13	18	-107	11	32
1354130021493	179.35	6539.74	1357	1600	16000	0.492	18.130	13	17	-107	11	30
1354130068850	228.74	5928.00	1357	1600	16000	0.604	7.022	13	18	-107	12	26
1354130117683	214.46	5833.36	1357	1600	16000	0.597	16.221	13	17	-107	11	30
1354130160877	214.13	5567.02	1357	1600	16000	0.512	15.800	13	18	-107	13	28
1354130204002	245.76	6383.00	1357	1600	16000	0.597	16.987	13	18	-107	13	28
1354130251097	281.69	5573.52	1357	1600	16000	0.687	16.635	13	17	-107	12	30
1354130294594	256.19	5134.29	1357	1600	16000	0.767	12.202	13	17	-106	11	30
