Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS	
1354363678	573.88	4744.93	1357	1600	16000	1.540	13.581	15	14	
1354363742	411.05	146.00	1357	1600	16000	0.908	0.766	15	13	
1354363822	713.26	323.06	1357	1600	16000	1.308	2.730	15	13	
1354363906	312.13	191.02	1357	1600	16000	0.842	1.336	15	14	
1354363966	545.48	248.18	1357	1600	16000	1.103	1.329	15	13	
1354364022	597.08	1017.15	1357	1600	16000	1.288	3.871	15	13	
1354364072	454.42	830.44	1357	1600	16000	0.918	2.574	15	12	
1354364126	501.54	826.32	1357	1600	16000	1.040	3.000	15	14	
1354364192	322.46	859.19	1357	1600	16000	0.762	3.766	15	13	
1354364257	177.11	634.72	1357	1600	16000	0.519	2.822	15	13	
1354364311	758.46	713.22	1357	1600	16000	1.556	2.799	15	13	
1354364383	292.70	414.19	1357	1600	16000	0.651	3.392	15	13	
1354364440	177.45	606.68	1357	1600	16000	0.555	2.561	15	12	
1354364493	476.71	364.60	1357	1600	16000	1.059	1.579	15	13	
1354364563	300.96	516.84	1357	1600	16000	0.738	3.194	15	13	
1354364625	425.66	682.24	1357	1600	16000	0.968	3.201	15	14	
1354364680	455.04	894.50	1357	1600	16000	1.016	3.194	15	14	
1354364735	527.86	614.98	1357	1600	16000	1.013	2.621	15	13	
1354364801	311.71	504.66	1357	1600	16000	0.770	2.730	15	13	
1354364869	408.04	284.30	1357	1600	16000	0.879	1.694	15	14	
1354364931	274.03	189.50	1357	1600	16000	0.789	1.059	15	14	
1354365007	427.18	180.20	1357	1600	16000	0.938	1.237	15	14	
1354365063	361.87	271.81	1357	1600	16000	0.761	1.242	15	14	
1354365133	374.16	512.00	1357	1600	16000	0.852	3.216	15	13	
1354365190	359.90	339.32	1357	1600	16000	0.748	1.741	15	13	
1354365343	440.69	502.00	1357	1600	16000	0.996	2.147	15	12	
1354365430	371.50	324.44	1357	1600	16000	0.910	2.698	15	14	
1354365495	170.06	219.54	1357	1600	16000	0.537	0.952	15	14	
1354365559	281.84	309.29	1357	1600	16000	0.663	1.582	15	13	
1354365628	270.94	205.94	1357	1600	16000	0.710	1.064	15	14	
1354365695	463.75	256.65	1357	1600	16000	0.972	1.639	15	13	
1354365754	379.96	340.12	1357	1600	16000	0.787	1.389	15	13	
1354365826	639.23	194.39	1357	1600	16000	1.346	1.304	15	14	
1354365892	352.87	258.06	1357	1600	16000	0.747	1.287	15	14	
1354365961	390.82	318.37	1357	1600	16000	0.839	2.036	15	14	
1354366097	422.44	350.56	1357	1600	16000	0.973	1.592	15	13	
1354366167	285.20	533.83	1357	1600	16000	0.573	2.633	15	14	
1354366221	664.98	494.06	1357	1600	16000	1.433	2.041	15	14	
1354366285	826.78	539.12	1357	1600	16000	1.645	3.295	15	13	
1354366339	747.95	828.53	1357	1600	16000	1.620	2.851	15	14	
1354366399	501.70	858.34	1357	1600	16000	1.103	3.360	15	14	
1354366497	562.26	339.25	1357	1600	16000	0.980	1.659	15	14	
1354366550	509.72	565.66	1357	1600	16000	1.044	2.279	15	14	
1354366608	393.74	656.82	1357	1600	16000	0.906	2.648	15	14	
1354366667	596.55	285.82	1357	1600	16000	1.172	1.661	15	13	
1354366727	651.36	469.52	1357	1600	16000	1.348	2.680	15	13	
1354366793	698.65	423.70	1357	1600	16000	1.592	2.219	15	13	
1354366844	626.22	787.10	1357	1600	16000	1.226	2.683	15	13	
1354366907	433.32	480.88	1357	1600	16000	0.915	3.087	15	13	
1354366987	265.12	296.97	1357	1600	16000	0.867	2.601	15	13	
1354367061	457.65	205.75	1357	1600	16000	0.952	1.289	15	13	
1354367111	577.90	488.20	1357	1600	16000	1.128	2.093	15	14	
1354367164	663.53	986.21	1357	1600	16000	1.328	3.652	15	13	
1354367223	469.20	913.54	1357	1600	16000	0.955	3.687	15	13	
1354367280	593.64	574.94	1357	1600	16000	1.162	2.715	15	14	
1354367335	666.78	310.92	1357	1600	16000	1.377	1.329	15	14	
1354367402	801.42	376.65	1357	1600	16000	1.641	2.152	15	14	
1354367471	818.60	378.76	1357	1600	16000	1.508	2.155	15	13	
1354367530	761.11	602.34	1357	1600	16000	1.480	3.156	15	13	
1354367584	466.81	644.36	1357	1600	16000	0.949	2.618	15	13	
1354367642	655.06	493.13	1357	1600	16000	1.316	2.641	15	13	
1354367712	912.80	211.76	1357	1600	16000	1.750	1.307	15	14	
1354367769	760.96	508.25	1357	1600	16000	1.550	2.142	15	13	
1354367837	813.67	481.86	1357	1600	16000	1.543	2.740	15	13	
1354367896	852.20	451.05	1357	1600	16000	1.623	2.175	15	14	
1354367968	578.18	363.77	1357	1600	16000	1.088	2.083	15	14	
1354368040	863.40	300.72	1357	1600	16000	1.653	2.046	15	14	
1354368103	757.79	294.58	1357	1600	16000	1.521	1.557	15	14	
1354368194	485.61	248.94	1357	1600	16000	0.930	1.570	15	13	
1354368257	885.12	403.30	1357	1600	16000	1.820	2.038	15	14	
1354368321	898.36	437.76	1357	1600	16000	1.629	2.254	15	17	
1354368388	949.63	472.44	1357	1600	16000	1.848	2.668	15	14	
1354368444	966.18	368.25	1357	1600	16000	1.839	1.666	15	16	
1354368499	947.93	803.12	1357	1600	16000	1.795	3.370	15	15	
1354368571	987.91	356.10	1357	1600	16000	1.897	2.239	15	16	
1354368655	892.92	322.17	1357	1600	16000	1.830	2.611	15	14	
1354368719	937.60	515.65	1357	1600	16000	1.909	2.641	15	14	
1354368776	949.63	619.35	1357	1600	16000	1.958	2.631	15	14	
1354368852	997.19	360.40	1357	1600	16000	1.798	2.732	15	17	
1354368980	998.75	652.75	1357	1600	16000	1.997	2.581	15	16	
1354369040	909.10	583.07	1357	1600	16000	1.926	3.159	15	14	
1354369097	975.14	605.14	1357	1600	16000	1.849	2.638	15	17	
1354369152	984.94	853.70	1357	1600	16000	1.842	3.313	15	17	
1354369201	948.02	1190.96	1357	1600	16000	1.914	3.692	15	14	
1354369256	920.92	1081.20	1357	1600	16000	1.888	3.851	15	14	
1354369314	920.99	387.10	1357	1600	16000	1.808	1.894	15	14	
1354369364	919.54	1070.22	1357	1600	16000	1.747	3.377	15	14	
1354369416	964.40	928.69	1357	1600	16000	1.913	3.228	15	15	
1354369466	964.50	754.99	1357	1600	16000	1.808	2.673	15	14	
1354369518	837.52	1059.58	1357	1600	16000	1.651	3.890	15	13	
1354369568	927.18	1152.68	1357	1600	16000	1.788	3.759	15	14	
1354369619	831.70	1089.28	1357	1600	16000	1.743	3.253	15	14	
1354369673	795.97	827.14	1357	1600	16000	1.559	3.268	15	14	
1354369737	861.79	436.71	1357	1600	16000	1.646	2.683	15	14	
1354369789	938.13	916.06	1357	1600	16000	1.816	3.092	15	15	
1354369842	949.63	999.51	1357	1600	16000	1.820	3.650	15	17	
1354369890	910.08	1053.84	1357	1600	16000	1.790	3.367	15	14	
1354369954	974.12	550.06	1357	1600	16000	1.832	3.285	15	15	
1354370006	868.48	868.83	1357	1600	16000	1.553	3.047	15	14	
1354370059	926.35	1043.88	1357	1600	16000	1.708	3.898	15	14	
1354370116	954.54	519.98	1357	1600	16000	1.886	2.720	15	14	
1354370163	598.56	925.02	1357	1600	16000	1.170	2.710	15	14	
1354370229	811.30	363.59	1357	1600	16000	1.606	2.207	15	14	
1354370301	689.43	400.01	1357	1600	16000	1.374	2.611	15	14	
1354370351	918.17	639.04	1357	1600	16000	1.699	2.594	15	17	
1354370401	509.43	812.40	1357	1600	16000	1.052	2.772	15	13	
1354370471	968.33	497.06	1357	1600	16000	1.739	3.402	15	16	
1354370532	907.83	307.96	1357	1600	16000	1.747	1.374	15	16	
1354370603	574.72	402.25	1357	1600	16000	1.500	2.797	15	14	
1354370689	988.14	197.96	1357	1600	16000	1.858	1.795	15	14	
1354370743	873.04	946.04	1357	1600	16000	1.741	3.727	15	15	
1354370794	901.80	882.04	1357	1600	16000	1.754	3.295	15	14	
1354370852	780.07	597.38	1357	1600	16000	1.567	3.218	15	14	
1354370905	961.98	1049.32	1357	1600	16000	1.879	3.742	15	17	
1354370955	921.44	878.51	1357	1600	16000	1.667	3.062	15	17	
1354371006	1003.10	1126.07	1357	1600	16000	1.814	3.675	15	14	
1354371062	982.00	596.14	1357	1600	16000	1.814	3.248	15	15	
1354371124	920.78	514.09	1357	1600	16000	1.691	2.827	15	14	
1354371186	848.72	527.23	1357	1600	16000	1.567	2.472	15	14	
1354371246	961.20	615.16	1357	1600	16000	1.693	2.725	15	16	
1354371297	981.09	864.52	1357	1600	16000	1.889	3.325	15	14	
1354371348	919.00	1242.08	1357	1600	16000	1.722	4.362	15	14	
1354371397	947.50	926.16	1357	1600	16000	1.891	3.288	15	17	
1354371454	1014.02	390.79	1357	1600	16000	2.025	2.728	15	14	
1354371505	992.28	1081.48	1357	1600	16000	1.860	3.799	15	17	
1354371573	880.22	542.34	1357	1600	16000	1.706	3.742	15	14	
1354371629	940.72	346.24	1357	1600	16000	1.844	1.572	15	17	
