Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354391480	387.14	3658.18	1357	1600	16000	1.219	12.162	13	17	-107	13	22	
1354391535	328.14	5206.49	1357	1600	16000	0.985	15.148	13	17	-107	13	22	
1354391583	408.14	5135.03	1357	1600	16000	1.065	15.750	13	17	-107	13	22	
1354391630	453.06	4854.96	1357	1600	16000	0.989	13.846	13	18	-108	14	0	
1354391679	704.23	4069.16	1357	1600	16000	1.772	12.212	13	17	-108	13	0	
1354391727	509.64	4948.26	1357	1600	16000	1.158	13.992	13	17	-108	12	0	
1354391775	456.80	4995.63	1357	1600	16000	1.026	14.845	13	17	-108	12	0	
1354391823	697.27	5624.89	1357	1600	16000	1.742	15.274	13	17	-108	12	0	
1354391874	769.24	5489.96	1357	1600	16000	2.062	15.606	13	17	-108	12	0	
1354391924	568.42	5628.46	1357	1600	16000	1.430	15.800	13	17	-108	12	0	
1354391973	458.86	5401.24	1357	1600	16000	1.110	15.676	13	17	-108	12	0	
1354392024	483.46	4904.80	1357	1600	16000	1.348	14.768	13	17	-108	12	0	
1354392074	680.49	5517.33	1357	1600	16000	1.732	15.115	13	17	-108	12	0	
1354392125	736.54	5586.50	1357	1600	16000	1.840	16.125	13	17	-108	12	0	
1354392171	689.96	5318.50	1357	1600	16000	1.417	14.902	13	18	-108	15	0	
1354392222	709.36	5323.35	1357	1600	16000	1.869	16.068	13	18	-108	15	0	
1354392271	564.85	4657.41	1357	1600	16000	1.512	13.744	13	19	-108	14	2	
1354392318	948.69	5374.87	1357	1600	16000	2.111	15.688	13	19	-108	14	2	
1354392369	842.56	5239.00	1357	1600	16000	2.024	15.351	13	19	-108	14	2	
1354392415	556.72	5495.17	1357	1600	16000	1.249	15.128	13	19	-108	14	2	
1354392464	812.86	5083.00	1357	1600	16000	1.715	14.838	13	19	-108	14	2	
1354392513	569.38	5055.64	1357	1600	16000	1.524	14.411	13	19	-108	14	2	
1354392564	780.07	5170.91	1357	1600	16000	2.050	15.827	13	19	-108	14	2	
1354392616	773.13	4035.43	1357	1600	16000	1.990	12.720	13	18	-108	14	-2	
1354392666	757.02	4840.28	1357	1600	16000	1.944	13.836	13	18	-108	14	0	
1354392715	769.24	4175.42	1357	1600	16000	1.809	12.247	13	18	-108	15	0	
1354392764	509.87	5074.91	1357	1600	16000	1.545	14.116	13	17	-108	13	0	
1354392813	538.49	4232.71	1357	1600	16000	1.462	12.849	13	18	-108	15	2	
1354392863	713.64	4912.72	1357	1600	16000	1.808	14.399	13	18	-108	15	2	
1354392920	822.24	4415.86	1357	1600	16000	2.463	13.280	13	17	-109	13	0	
