Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351885859725	1.4922	3.0594	0.1	500	50
1351885860401	0.9773	3.0567	0.1	500	50
1351885860994	1.7527	2.7315	0.1	500	50
1351885861547	1.8227	3.0596	0.1	500	50
1351885862036	1.5359	3.0600	0.1	500	50
1351885862489	1.8744	3.0644	0.1	500	50
1351885862985	1.9643	3.3768	0.1	500	50
1351885863518	1.7214	3.0716	0.1	500	50
1351885864022	1.8057	3.0117	0.1	500	50
1351885864505	2.2016	3.3815	0.1	500	50
1351885865024	1.4600	3.0613	0.1	500	50
1351885865539	2.2301	3.0606	0.1	500	50
1351885866079	2.2301	3.0702	0.1	500	50
1351885866576	1.7740	3.0607	0.1	500	50
1351885867117	2.2908	3.0636	0.1	500	50
1351885867625	2.2884	3.0597	0.1	500	50
1351885868158	2.4695	3.0621	0.1	500	50
1351885868669	2.0317	3.3876	0.1	500	50
1351885869170	2.1906	2.8021	0.1	500	50
1351885869683	1.4781	3.3779	0.1	500	50
1351885870185	2.0514	2.8086	0.1	500	50
1351885870693	1.6359	3.4905	0.1	500	50
1351885871219	2.3955	3.3869	0.1	500	50
1351885871770	2.4148	2.7359	0.1	500	50
1351885872304	2.0644	3.0656	0.1	500	50
1351885872837	1.9911	3.0567	0.1	500	50
1351885873361	2.2150	3.4894	0.1	500	50
1351885873929	1.9080	3.0625	0.1	500	50
1351885874463	1.9631	3.0603	0.1	500	50
1351885875043	1.8243	2.7255	0.1	500	50
1351885875670	1.9815	3.0540	0.1	500	50
1351885876196	1.9027	3.3645	0.1	500	50
1351885876690	1.9797	3.8923	0.1	500	50
1351885877227	1.9393	2.7273	0.1	500	50
1351885877752	2.1163	3.0719	0.1	500	50
1351885878300	2.0860	2.7256	0.1	500	50
1351885878866	1.7778	3.0607	0.1	500	50
1351885879419	1.3646	3.4834	0.1	500	50
1351885880010	2.4167	3.3687	0.1	500	50
1351885880671	2.1020	3.2587	0.1	500	50
1351885881231	1.7822	2.5213	0.1	500	50
1351885881887	2.1184	2.7240	0.1	500	50
1351885882486	1.9155	2.3343	0.1	500	50
1351885883037	2.1122	2.9774	0.1	500	50
1351885883597	1.9689	2.7991	0.1	500	50
1351885884128	2.0400	3.0607	0.1	500	50
1351885884689	1.9421	3.0716	0.1	500	50
1351885885258	1.7406	3.3665	0.1	500	50
1351885885841	1.7687	3.0588	0.1	500	50
1351885886428	1.8294	3.0564	0.1	500	50
1351885887060	1.5961	2.7595	0.1	500	50
1351885887603	1.6629	3.0657	0.1	500	50
1351885888181	1.9132	3.0599	0.1	500	50
1351885888763	2.1717	2.9757	0.1	500	50
1351885889353	1.7522	3.0640	0.1	500	50
1351885889924	1.8966	3.0581	0.1	500	50
1351885890520	1.7341	3.0627	0.1	500	50
1351885891144	1.7415	2.7271	0.1	500	50
1351885891683	2.0044	3.0708	0.1	500	50
1351885892212	1.6716	3.0595	0.1	500	50
1351885892787	1.8475	3.0584	0.1	500	50
1351885893334	2.0867	3.0764	0.1	500	50
1351885893879	2.1102	2.3488	0.1	500	50
1351885894435	1.9596	3.0648	0.1	500	50
1351885894945	1.5603	3.0735	0.1	500	50
1351885895564	2.1184	3.0533	0.1	500	50
1351885896100	2.0081	3.0619	0.1	500	50
1351885896618	1.9228	3.1824	0.1	500	50
1351885897191	1.6482	3.0712	0.1	500	50
1351885897717	1.9330	3.3674	0.1	500	50
1351885898213	2.3798	3.0605	0.1	500	50
1351885898699	1.9972	3.0783	0.1	500	50
1351885899212	2.0112	3.3842	0.1	500	50
1351885899718	2.1617	2.8065	0.1	500	50
1351885900164	1.7295	3.3720	0.1	500	50
1351885900653	2.0722	3.3718	0.1	500	50
1351885901145	1.9911	3.3677	0.1	500	50
1351885901624	1.6364	3.0732	0.1	500	50
1351885902162	1.6726	3.0556	0.1	500	50
1351885902676	2.1034	3.0718	0.1	500	50
1351885903211	2.1273	3.0583	0.1	500	50
1351885903753	2.2369	3.3700	0.1	500	50
1351885904266	1.9456	3.9138	0.1	500	50
1351885904805	1.9093	2.7249	0.1	500	50
1351885905294	2.0273	3.4253	0.1	500	50
1351885905827	1.5413	3.0760	0.1	500	50
1351885906390	1.6582	3.4959	0.1	500	50
1351885906955	1.3420	3.0657	0.1	500	50
1351885907468	2.0118	3.0580	0.1	500	50
1351885907993	1.8616	2.7419	0.1	500	50
1351885908541	2.0149	2.7408	0.1	500	50
1351885909093	1.9110	3.0627	0.1	500	50
1351885909590	1.8469	3.0606	0.1	500	50
1351885910116	2.0683	3.4910	0.1	500	50
1351885910635	1.7039	2.9874	0.1	500	50
1351885911201	1.6743	3.0617	0.1	500	50
1351885911764	1.6366	3.0579	0.1	500	50
1351885912329	1.9216	3.0559	0.1	500	50
1351885912868	1.7640	3.0603	0.1	500	50
1351885913368	2.0130	3.0626	0.1	500	50
1351885913848	1.9965	3.0635	0.1	500	50
1351885914357	1.8809	3.0612	0.1	500	50
1351885914870	1.8444	3.0563	0.1	500	50
1351885915422	1.9560	2.7289	0.1	500	50
1351885915962	1.8464	3.4986	0.1	500	50
1351885916494	1.6933	3.0615	0.1	500	50
1351885917002	1.8585	2.7268	0.1	500	50
1351885917545	1.8361	2.7264	0.1	500	50
1351885918104	1.8264	3.0687	0.1	500	50
1351885918660	1.8163	3.0695	0.1	500	50
1351885919214	1.7764	3.0710	0.1	500	50
1351885919723	1.7988	3.3674	0.1	500	50
1351885920265	2.0393	3.0611	0.1	500	50
1351885920800	1.6855	3.0605	0.1	500	50
1351885921341	1.8444	3.3617	0.1	500	50
1351885921852	1.8890	3.0608	0.1	500	50
1351885922354	1.8381	3.0630	0.1	500	50
1351885922830	1.8595	3.3662	0.1	500	50
1351885923369	1.9809	3.0784	0.1	500	50
1351885923907	1.9462	3.0596	0.1	500	50
1351885924407	2.1475	3.0771	0.1	500	50
1351885924922	1.9404	3.0575	0.1	500	50
1351885925428	2.0230	3.0767	0.1	500	50
1351885925950	2.1833	3.4906	0.1	500	50
1351885926463	1.9060	3.0694	0.1	500	50
1351885927000	1.8961	3.0611	0.1	500	50
1351885927470	2.0062	3.0728	0.1	500	50
1351885927945	1.9984	3.0628	0.1	500	50
1351885928451	1.8900	3.0638	0.1	500	50
1351885928919	1.9149	3.0646	0.1	500	50
1351885929467	1.8284	3.0697	0.1	500	50
1351885929993	1.9116	3.0663	0.1	500	50
1351885930508	1.8782	2.9669	0.1	500	50
1351885930993	2.1001	3.0555	0.1	500	50
1351885931487	1.7856	3.3687	0.1	500	50
1351885931991	2.0118	3.0619	0.1	500	50
1351885932528	1.8310	3.0617	0.1	500	50
1351885933042	1.7778	3.3913	0.1	500	50
1351885933554	2.2053	3.0647	0.1	500	50
1351885934045	1.8407	3.0541	0.1	500	50
1351885934562	1.8340	3.3613	0.1	500	50
1351885935034	1.9607	3.4926	0.1	500	50
1351885935540	1.9887	3.0576	0.1	500	50
1351885936044	1.7832	3.0509	0.1	500	50
1351885936553	2.1021	3.3792	0.1	500	50
1351885937032	1.8505	3.0571	0.1	500	50
1351885937528	2.1891	3.0594	0.1	500	50
1351885938050	1.8038	3.0589	0.1	500	50
1351885938567	1.9755	3.0602	0.1	500	50
1351885939029	2.0019	3.0643	0.1	500	50
1351885939521	2.1826	3.4891	0.1	500	50
1351885940049	1.8569	3.3631	0.1	500	50
1351885940527	2.0807	3.0610	0.1	500	50
1351885941053	1.8013	3.0793	0.1	500	50
1351885941573	2.1746	3.1278	0.1	500	50
1351885942118	1.8994	3.0582	0.1	500	50
1351885942689	1.7983	1.5972	0.1	500	50
1351885943191	1.8351	3.3810	0.1	500	50
1351885943725	1.8294	3.3826	0.1	500	50
1351885944252	1.8675	3.0667	0.1	500	50
1351885944758	1.9520	3.3797	0.1	500	50
1351885945257	1.9318	3.0594	0.1	500	50
1351885945759	2.1660	3.3723	0.1	500	50
1351885946274	1.7079	3.0598	0.1	500	50
1351885946839	1.9947	2.7279	0.1	500	50
1351885947406	2.0381	3.0574	0.1	500	50
1351885947923	1.9959	3.0647	0.1	500	50
1351885948446	1.9233	3.0542	0.1	500	50
1351885948980	2.1768	2.7302	0.1	500	50
1351885949572	2.1789	3.0585	0.1	500	50
1351885950113	2.0217	3.0685	0.1	500	50
1351885950764	1.8222	2.4720	0.1	500	50
1351885951282	1.9893	3.0587	0.1	500	50
1351885951940	2.2286	3.0661	0.1	500	50
1351885952491	1.7778	3.0677	0.1	500	50
1351885953057	2.3029	2.7278	0.1	500	50
1351885953658	2.0960	3.0559	0.1	500	50
1351885954192	1.5899	3.0534	0.1	500	50
1351885954743	2.1363	3.0623	0.1	500	50
1351885955313	2.0579	2.1417	0.1	500	50
1351885955824	1.9941	3.0578	0.1	500	50
1351885956422	1.9093	2.3404	0.1	500	50
1351885957004	2.1667	2.7301	0.1	500	50
1351885957560	1.7861	3.0574	0.1	500	50
1351885958172	2.3593	2.7306	0.1	500	50
1351885958683	2.0689	3.3694	0.1	500	50
1351885959258	2.0701	2.7265	0.1	500	50
1351885959801	1.7164	3.0613	0.1	500	50
1351885960312	1.9462	2.7703	0.1	500	50
1351885960849	2.1266	3.0705	0.1	500	50
1351885961368	2.3266	3.9022	0.1	500	50
1351885961872	1.7706	3.0669	0.1	500	50
1351885962451	2.0286	3.0655	0.1	500	50
1351885962983	2.1066	3.0166	0.1	500	50
1351885963539	2.1525	3.4883	0.1	500	50
1351885964122	1.8345	3.0625	0.1	500	50
1351885964660	1.8558	3.0611	0.1	500	50
1351885965214	1.9572	3.0622	0.1	500	50
1351885965761	1.9149	3.0612	0.1	500	50
1351885966319	1.8506	3.0614	0.1	500	50
1351885966847	1.7678	3.0945	0.3	500	50
1351885967371	2.1688	2.8237	0.3	500	50
1351885967860	2.0185	2.7505	0.3	500	50
1351885968401	2.1177	2.3601	0.3	500	50
1351885968967	1.5245	2.8228	0.3	500	50
1351885969521	1.8760	2.5430	0.3	500	50
1351885970149	1.8157	2.5396	0.3	500	50
1351885970796	1.7621	2.1133	0.3	500	50
1351885971349	1.6982	2.8312	0.3	500	50
1351885971967	1.7304	2.0665	0.3	500	50
1351885972569	2.1102	2.3094	0.3	500	50
1351885973158	1.7944	2.8232	0.3	500	50
1351885973689	1.9566	2.8256	0.3	500	50
1351885974241	1.8198	3.1883	0.3	500	50
1351885974795	2.1753	3.1965	0.3	500	50
1351885975342	2.0204	2.8254	0.3	500	50
1351885975917	1.8600	2.9081	0.3	500	50
1351885976432	2.0572	3.5221	0.3	500	50
