Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351879927464	0.7582	5.2977	200000	200	50
1351879927945	0.8097	5.3542	200000	200	50
1351879928462	0.8414	5.2695	200000	200	50
1351879928935	0.8846	5.2584	200000	200	50
1351879929448	0.8217	5.2722	200000	200	50
1351879929925	0.7444	5.3301	200000	200	50
1351879930443	0.8778	5.3112	200000	200	50
1351879930935	0.7472	5.2864	200000	200	50
1351879931415	0.8810	5.2786	200000	200	50
1351879931883	0.8552	5.3452	200000	200	50
1351879932315	0.9050	5.2839	200000	200	50
1351879932766	0.8888	5.2676	200000	200	50
1351879933271	0.8945	5.3261	200000	200	50
1351879933731	0.8906	3.7021	200000	200	50
1351879934196	0.8799	5.2671	200000	200	50
1351879934700	0.8228	5.2796	200000	200	50
1351879935150	0.8976	5.3378	200000	200	50
1351879935626	0.8404	5.3003	200000	200	50
1351879936084	0.8297	5.3654	200000	200	50
1351879936649	0.7732	5.2674	200000	200	50
1351879937120	0.7713	5.2577	200000	200	50
1351879937563	0.8332	5.2805	200000	200	50
1351879938071	0.8076	5.2680	200000	200	50
1351879938551	0.8192	5.2898	200000	200	50
1351879939015	0.9120	5.2989	200000	200	50
1351879939543	0.8113	5.3565	200000	200	50
1351879940008	0.9255	5.2850	200000	200	50
1351879940498	0.8396	5.2746	200000	200	50
1351879940955	0.7504	5.2730	200000	200	50
1351879941455	0.8501	5.3310	200000	200	50
1351879941928	0.7904	5.2828	200000	200	50
1351879942400	0.8614	5.2455	200000	200	50
1351879942972	0.8888	5.2888	200000	200	50
1351879943385	1.0378	5.3028	200000	200	50
1351879943822	0.8998	5.3042	200000	200	50
1351879944323	0.8131	5.2345	200000	200	50
1351879944809	0.8005	5.2817	200000	200	50
1351879945304	0.8519	5.2621	200000	200	50
1351879945783	0.8256	5.2978	200000	200	50
1351879946285	0.9196	5.3114	200000	200	50
1351879946712	0.8723	5.3214	200000	200	50
1351879947128	0.9404	5.2562	200000	200	50
1351879947617	0.8544	5.3161	200000	200	50
1351879948033	0.9041	5.3078	200000	200	50
1351879948456	0.9063	5.2848	200000	200	50
1351879948941	0.9104	5.2548	200000	200	50
1351879949351	0.9164	5.2881	200000	200	50
1351879949738	0.9126	5.2769	200000	200	50
1351879950166	0.8608	5.3713	200000	200	50
1351879950581	0.9085	5.2722	200000	200	50
1351879950994	0.9347	5.2865	200000	200	50
1351879951423	0.8605	5.2836	200000	200	50
1351879951826	0.9261	5.3057	200000	200	50
1351879952227	0.9923	5.2426	200000	200	50
1351879952633	0.9871	5.3003	200000	200	50
1351879953103	0.9296	5.2834	200000	200	50
1351879953515	0.9793	5.3233	200000	200	50
1351879953935	0.8497	5.3034	200000	200	50
1351879954395	0.9206	5.2859	200000	200	50
1351879954810	0.9155	5.2933	200000	200	50
1351879955227	0.9079	5.2766	200000	200	50
1351879955689	0.9317	5.3005	200000	200	50
1351879956108	0.9790	5.3025	200000	200	50
1351879956533	0.8924	5.2862	200000	200	50
1351879956993	0.8324	5.2903	200000	200	50
1351879957414	0.7934	5.2763	200000	200	50
1351879957815	0.9812	5.2942	200000	200	50
1351879958259	0.9340	5.2636	200000	200	50
1351879958655	0.9551	5.2890	200000	200	50
1351879959092	0.9434	5.2964	200000	200	50
1351879959528	0.9367	5.2962	200000	200	50
1351879959964	0.9320	5.2999	200000	200	50
1351879960424	0.9053	5.2902	200000	200	50
1351879960929	0.8293	5.2960	200000	200	50
1351879961404	0.9304	5.3094	200000	200	50
1351879961843	0.8215	5.3306	200000	200	50
1351879962345	0.9232	5.3055	200000	200	50
1351879962791	0.8248	5.2823	200000	200	50
1351879963255	0.7532	5.3052	200000	200	50
1351879963799	0.7657	5.2509	200000	200	50
1351879964257	0.8602	5.2957	200000	200	50
1351879964655	0.9852	5.2814	200000	200	50
1351879965150	0.8076	5.2870	200000	200	50
1351879965575	0.9255	5.3073	200000	200	50
1351879966002	0.8784	5.2909	200000	200	50
1351879966481	0.9826	5.3051	200000	200	50
1351879966909	0.9642	5.2971	200000	200	50
1351879967306	0.9721	5.2949	200000	200	50
1351879967756	0.9307	5.2782	200000	200	50
1351879968177	0.8900	5.2756	200000	200	50
1351879968605	0.9167	5.2917	200000	200	50
1351879969143	0.8235	5.2729	200000	200	50
1351879969639	0.7273	5.3102	200000	200	50
1351879970120	0.7998	5.3117	200000	200	50
1351879970635	0.8306	5.2962	200000	200	50
1351879971136	0.7523	5.3407	200000	200	50
1351879971592	0.8831	5.2778	200000	200	50
1351879972070	0.8437	5.2864	200000	200	50
1351879972496	0.9125	5.2628	200000	200	50
1351879972913	0.9300	5.3150	200000	200	50
1351879973395	0.8787	5.3192	200000	200	50
1351879973806	0.9271	5.2808	200000	200	50
