Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351880889163	0.5733	13.3501	200000	500	10
1351880889482	0.7153	13.5706	200000	500	10
1351880889866	0.6764	13.3746	200000	500	10
1351880890246	0.6419	13.3138	200000	500	10
1351880890561	0.7023	13.0307	200000	500	10
1351880890944	0.7019	13.3735	200000	500	10
1351880891314	0.7016	13.0241	200000	500	10
1351880891643	0.6067	20.8531	200000	500	10
1351880892030	0.5968	13.1532	200000	500	10
1351880892400	0.6473	13.1661	200000	500	10
1351880892734	0.5812	13.3173	200000	500	10
1351880893482	0.5984	13.2609	200000	500	10
1351880893907	0.5807	16.4218	200000	500	10
1351880894294	0.5647	12.9696	200000	500	10
1351880894685	0.6469	14.4368	200000	500	10
1351880895067	0.5978	13.3520	200000	500	10
1351880895404	0.5572	13.3381	200000	500	10
1351880895851	0.6339	13.2520	200000	500	10
1351880896241	0.5984	14.5972	200000	500	10
1351880896591	0.6460	13.1570	200000	500	10
1351880896996	0.5644	13.0914	200000	500	10
1351880897400	0.5652	13.1484	200000	500	10
1351880897737	0.6254	12.8899	200000	500	10
1351880898114	0.7324	13.0276	200000	500	10
1351880898501	0.6467	16.2191	200000	500	10
1351880898885	0.6032	12.9775	200000	500	10
1351880899280	0.6462	14.7612	200000	500	10
1351880899668	0.5898	13.3823	200000	500	10
1351880900007	0.5338	13.1744	200000	500	10
1351880900395	0.6667	13.0261	200000	500	10
1351880900768	0.7700	13.0270	200000	500	10
1351880901091	0.6749	12.9916	200000	500	10
1351880901481	0.6667	12.9668	200000	500	10
1351880901857	0.6066	13.2604	200000	500	10
1351880902185	0.5990	46.9101	200000	500	10
1351880902633	0.7114	12.8714	200000	500	10
1351880903008	0.7023	12.9199	200000	500	10
1351880903343	0.6786	13.9760	200000	500	10
1351880903727	0.6684	12.9716	200000	500	10
1351880904140	0.6560	13.3966	200000	500	10
1351880904440	0.6763	12.9884	200000	500	10
1351880904808	0.7082	12.9733	200000	500	10
1351880905210	0.6759	13.0096	200000	500	10
1351880905520	0.7220	19.6081	200000	500	10
1351880905889	0.5932	12.9355	200000	500	10
1351880906224	0.6865	12.9811	200000	500	10
1351880906556	0.7162	13.1537	200000	500	10
1351880906928	0.7613	15.8283	200000	500	10
1351880907325	0.6534	13.9760	200000	500	10
1351880907650	0.7411	12.9923	200000	500	10
1351880908096	0.7256	12.9384	200000	500	10
1351880908402	0.6172	14.1263	200000	500	10
1351880908728	0.6167	15.1005	200000	500	10
1351880909080	0.6174	12.9491	200000	500	10
1351880909407	0.6347	12.9837	200000	500	10
1351880909781	0.6685	13.1307	200000	500	10
1351880910146	0.6164	50.5287	200000	500	10
1351880910524	0.4772	13.1266	200000	500	10
1351880910897	0.6760	15.2761	200000	500	10
1351880911259	0.5930	13.8289	200000	500	10
1351880911583	0.5946	15.1005	200000	500	10
1351880911961	0.7034	14.1263	200000	500	10
1351880912325	0.6143	16.2191	200000	500	10
1351880912637	0.7710	13.0500	200000	500	10
1351880913037	0.5179	36.4929	200000	500	10
1351880913413	0.6636	12.9395	200000	500	10
1351880913718	0.7236	20.8531	200000	500	10
1351880914099	0.5856	12.8639	200000	500	10
1351880914445	0.7382	14.2770	200000	500	10
1351880914778	0.6106	14.0462	200000	500	10
1351880915152	0.6847	13.0071	200000	500	10
1351880915521	0.7033	12.9519	200000	500	10
1351880915839	0.7345	13.1389	200000	500	10
1351880916193	0.7279	13.0778	200000	500	10
1351880916555	0.6692	13.1278	200000	500	10
1351880916867	0.7395	12.9696	200000	500	10
1351880917258	0.6263	12.9388	200000	500	10
1351880917626	0.6956	13.3064	200000	500	10
1351880917952	0.6752	12.9878	200000	500	10
1351880918320	0.7399	14.7612	200000	500	10
1351880918681	0.7023	12.9244	200000	500	10
1351880919012	0.6070	13.0286	200000	500	10
1351880919424	0.6725	19.6081	200000	500	10
1351880919803	0.7256	54.7285	200000	500	10
1351880920156	0.6204	13.1597	200000	500	10
1351880920564	0.5988	13.6849	200000	500	10
1351880920955	0.5981	13.6631	200000	500	10
1351880921320	0.7320	12.9697	200000	500	10
1351880921740	0.6791	13.0784	200000	500	10
1351880922144	0.5790	13.0001	200000	500	10
1351880922546	0.5973	14.5972	200000	500	10
1351880922946	0.5988	15.2731	200000	500	10
1351880923306	0.7252	14.4368	200000	500	10
1351880923672	0.6167	13.0022	200000	500	10
1351880924062	0.6461	13.0022	200000	500	10
1351880924424	0.7036	13.5438	200000	500	10
1351880924740	0.5981	12.9287	200000	500	10
1351880925122	0.6357	13.2141	200000	500	10
1351880925483	0.7025	21.1894	200000	500	10
1351880925824	0.4685	12.9789	200000	500	10
1351880926192	0.6730	13.3054	200000	500	10
1351880926564	0.7016	12.9423	200000	500	10
1351880926883	0.6783	13.3390	200000	500	10
1351880927253	0.7029	12.9700	200000	500	10
1351880927722	0.6356	13.3618	200000	500	10
1351880928063	0.7019	13.0575	200000	500	10
1351880928446	0.7040	20.5273	200000	500	10
1351880928874	0.5558	12.9689	200000	500	10
1351880929205	0.6672	13.3261	200000	500	10
1351880929584	0.7122	13.2089	200000	500	10
1351880929994	0.5726	13.0519	200000	500	10
1351880930323	0.5977	13.8289	200000	500	10
1351880930754	0.6563	12.9691	200000	500	10
1351880931110	0.6889	57.1193	200000	500	10
1351880931426	0.6660	32.0426	200000	500	10
1351880931819	0.6049	52.5498	200000	500	10
1351880932175	0.6251	25.2643	200000	500	10
1351880932574	0.7240	13.1966	200000	500	10
1351880932967	0.6704	12.9255	200000	500	10
1351880933342	0.7407	16.2191	200000	500	10
1351880933668	0.6956	14.5972	200000	500	10
1351880934026	0.7390	15.2761	200000	500	10
1351880934397	0.7002	13.2415	200000	500	10
1351880934751	0.5991	13.1457	200000	500	10
1351880935122	0.7252	12.7907	200000	500	10
1351880935486	0.6770	21.1894	200000	500	10
1351880935902	0.5652	43.7915	200000	500	10
1351880936274	0.6722	52.5498	200000	500	10
1351880936673	0.6458	12.8846	200000	500	10
1351880937073	0.6163	12.9970	200000	500	10
1351880937462	0.6072	52.5498	200000	500	10
1351880937782	0.7272	13.0916	200000	500	10
1351880938193	0.5983	16.6297	200000	500	10
1351880938560	0.7504	23.4598	200000	500	10
1351880938946	0.7491	50.5287	200000	500	10
1351880939350	0.5986	13.1790	200000	500	10
1351880939754	0.7432	13.3307	200000	500	10
1351880940244	0.7293	59.7156	200000	500	10
1351880940633	0.5888	45.3016	200000	500	10
1351880940991	0.6230	14.2025	200000	500	10
1351880941365	0.6912	15.2761	200000	500	10
1351880941787	0.5716	12.9551	200000	500	10
1351880942159	0.5981	13.8221	200000	500	10
1351880942486	0.6898	22.2669	200000	500	10
1351880942874	0.6912	13.0544	200000	500	10
1351880943257	0.7299	13.2109	200000	500	10
1351880943618	0.7029	14.7612	200000	500	10
1351880943951	0.6262	15.0080	200000	500	10
1351880944341	0.7374	13.1681	200000	500	10
1351880944718	0.6664	14.9289	200000	500	10
1351880945195	0.6360	13.2169	200000	500	10
1351880945545	0.6479	16.4218	200000	500	10
1351880945923	0.7137	13.3878	200000	500	10
1351880946312	0.6245	13.0207	200000	500	10
1351880946679	0.6993	19.3198	200000	500	10
1351880947010	0.6858	13.3752	200000	500	10
1351880947385	0.7008	15.1005	200000	500	10
1351880947739	0.6265	45.2925	200000	500	10
1351880948112	0.7153	54.7394	200000	500	10
1351880948460	0.6901	13.5438	200000	500	10
1351880948833	0.6354	16.6297	200000	500	10
1351880949229	0.6732	13.2199	200000	500	10
1351880949599	0.6544	14.7582	200000	500	10
1351880949941	0.7333	59.7156	200000	500	10
1351880950302	0.7260	17.0616	200000	500	10
1351880950691	0.6981	57.1193	200000	500	10
1351880951052	0.7424	13.0075	200000	500	10
1351880951358	0.7370	21.5368	200000	500	10
1351880951702	0.7397	17.7533	200000	500	10
1351880952056	0.7702	13.0266	200000	500	10
1351880952443	0.6479	15.0263	200000	500	10
1351880953099	0.6050	13.4155	200000	500	10
1351880953438	0.7504	15.1005	200000	500	10
1351880953806	0.6166	43.7915	200000	500	10
1351880954209	0.6225	13.5041	200000	500	10
1351880954542	0.6672	57.1193	200000	500	10
1351880954893	0.7539	13.3366	200000	500	10
1351880955285	0.6079	12.9670	200000	500	10
1351880955644	0.7399	13.1020	200000	500	10
1351880955964	0.7534	12.9280	200000	500	10
1351880956337	0.7520	14.7612	200000	500	10
1351880956714	0.7032	13.9760	200000	500	10
1351880957083	0.6357	50.5287	200000	500	10
1351880957433	0.6173	52.5498	200000	500	10
1351880957799	0.7042	13.9760	200000	500	10
1351880958178	0.5746	15.1005	200000	500	10
1351880958565	0.6230	12.9544	200000	500	10
1351880958913	0.7029	16.8395	200000	500	10
1351880959312	0.5969	52.5498	200000	500	10
1351880959668	0.6987	12.9830	200000	500	10
1351880960073	0.6078	18.2428	200000	500	10
1351880960428	0.7024	13.2184	200000	500	10
1351880960809	0.7027	12.9908	200000	500	10
1351880961168	0.7184	45.3016	200000	500	10
1351880961533	0.7126	39.8105	200000	500	10
1351880961888	0.7048	13.2236	200000	500	10
1351880962247	0.6672	13.0133	200000	500	10
1351880962608	0.8173	15.1005	200000	500	10
1351880962978	0.6664	12.9499	200000	500	10
1351880963291	0.7732	12.9507	200000	500	10
1351880963776	1.4500	1.8023	200000	500	25
1351880964274	1.1794	2.1043	200000	500	25
1351880964701	1.3146	1.9856	200000	500	25
1351880965144	1.1975	1.8040	200000	500	25
1351880965601	1.3570	2.0373	200000	500	25
1351880966151	1.0615	1.5305	200000	500	25
1351880966623	1.2984	1.9477	200000	500	25
1351880967063	1.3576	1.8068	200000	500	25
1351880967536	1.3387	1.8057	200000	500	25
1351880968060	1.1739	1.9825	200000	500	25
1351880968550	1.3689	1.6570	200000	500	25
1351880968987	1.3509	1.8694	200000	500	25
1351880969461	1.4781	1.8045	200000	500	25
1351880969977	1.3951	1.8021	200000	500	25
1351880970475	1.3975	1.8042	200000	500	25
1351880970912	1.4984	1.8041	200000	500	25
1351880971385	1.4728	1.8024	200000	500	25
1351880971838	1.4481	1.8026	200000	500	25
1351880972298	1.4551	1.9857	200000	500	25
1351880972783	1.2261	1.6777	200000	500	25
1351880973268	1.4342	1.5783	200000	500	25
1351880973726	1.3274	2.1048	200000	500	25
1351880974258	1.1923	1.8059	200000	500	25
1351880974713	1.2664	1.6248	200000	500	25
1351880975149	1.3220	1.8041	200000	500	25
1351880975613	1.1962	1.8050	200000	500	25
1351880976141	1.3933	1.7116	200000	500	25
1351880976600	1.2094	1.9817	200000	500	25
